category,name,level,details
"Civil Engineering & BIM","Revit (Architecture / Structure)","Advanced","High-level modeling and documentation for large-scale infrastructure and residential projects."
"Civil Engineering & BIM","BIM Modeling & Coordination","Intermediate","Managing 3D models and coordinating between different engineering disciplines using Navisworks."
"Civil Engineering & BIM","AutoCAD 2D Drafting","Advanced","Creating precise construction drawings, site plans, and detailed engineering schematics."
"Civil Engineering & BIM","Navisworks (Clash Review)","Intermediate","Performing clash detection and resolution reports to ensure error-free construction phases."
"Civil Engineering & BIM","Construction Drawings & Detailing","Advanced","Transforming design concepts into accurate, builder-ready technical documentation."
"Revit Automation & Tools","pyRevit Scripts","Intermediate","Developing custom Python tools to automate repetitive Revit tasks and UI enhancements."
"Revit Automation & Tools","Dynamo (Visual Scripting)","Intermediate","Automating complex geometry and data management within BIM environments."
"Revit Automation & Tools","Excel ↔ Revit Workflows","Intermediate","Bridging data between spreadsheets and BIM models for schedules and parameter management."
"Revit Automation & Tools","Custom Revit Tools (Python)","Learning","Diving deeper into Revit API to build robust standalone add-ins and automation scripts."
"Web & Front-End","HTML, CSS, JavaScript","Intermediate","The foundation of my web tools, used to build interactive and responsive user interfaces."
"Web & Front-End","React.js","Intermediate","Building scalable web applications and my personal portfolio with modern component logic."
"Web & Front-End","Tailwind CSS","Intermediate","Rapidly styling modern web apps with utility-first CSS frameworks for clean design."
"Web & Front-End","Git & GitHub","Working","Version control and collaborative development for personal projects and BIM automation tools."
"Tools & Platforms","Autodesk Construction Cloud (ACC)","Working","Collaborating on cloud-hosted models and managing project documentation in CDE."
"Tools & Platforms","MS Excel & Google Sheets","Advanced","Advanced data analysis, automated calculations, and project tracking dashboards."
"Tools & Platforms","VS Code","Daily Driver","Primary environment for Python scripting, web development, and markdown documentation."
"Tools & Platforms","Notion / Task Management","Working","Organizing project timelines, personal knowledge bases, and professional documentation."
"Soft Skills","Site Coordination","Working","Managing communication between design teams and site personnel for real-world execution."
"Soft Skills","Client Communication","Working","Presenting technical designs and BIM models clearly to stakeholders and clients."
"Soft Skills","Team Collaboration","Strong","Working seamlessly within multi-disciplinary engineering teams to meet project goals."
"Soft Skills","Problem Solving","Strong","Approaching engineering challenges with a mix of technical logic and innovative automation."
