id	title	subtitle	type	category	year	duration	role	location	scope	summary	overview	objectives	approach	tech	highlights	outcome	caption	images	links	homeFeatured
energy-efficient-college	Energy Efficient College Building	Integrated planning, structural design & energy optimisation	Civil / BIM	civil	2024	Oct 2023 — May 2024	Lead Designer & BIM Modeler	Kerala, India (Academic Project)	Planning  Structural Design  Energy Simulation  Estimation  G+2  ~24,000 sq.ft	Designed an energy-efficient G+2 educational facility using an integrated BIM workflow, covering site analysis, architectural planning, structural design, energy optimisation, cost estimation, and visualization.	Final-year project focused on developing a sustainable institutional building with reduced energy demand while maintaining structural safety and functional efficiency. The workflow progressed from site assessment to analysis, simulation, and documentation following NBC, KMBR, and relevant IS codes.	Minimize operational energy demand using passive design strategies || Ensure structural safety and code compliance || Develop a coordinated BIM model (LOD 350) || Generate accurate quantity take-offs and cost estimation	[{"title":"Site Analysis & Planning","desc":"Studied orientation, solar exposure, and wind conditions to optimise building placement."},{"title":"Architectural BIM Modeling","desc":"Developed architectural model with functional zoning and shading strategies."},{"title":"Structural Analysis","desc":"Analyzed structural elements in ETABS for safety under design loads."},{"title":"Energy Simulation","desc":"Evaluated thermal performance using Green Building Studio."},{"title":"Documentation","desc":"Prepared drawings, schedules, estimates, and visualisations."},{"title":"Area Analysis","desc":"Total Built-up Area: ~24,000 sq.ft across G+2 floors."}]	Revit || ETABS || AutoCAD || Autodesk Green Building Studio || Twinmotion || Microsoft Excel	Coordinated BIM model as a single source of project data || Energy optimisation through simulation || Design compliant with NBC, KMBR, and IS codes || Construction-ready drawings and estimates	Demonstrated integrated BIM workflow combining sustainability, structural safety, and functional planning. Achieved significant energy savings potential.	Front perspective view of the proposed academic building showcasing shading devices and architectural form.	/projects/p2.webp || /projects/p3.webp || /projects/p4.webp	{"demo":"https://www.youtube.com/playlist?list=PLBip7ccT-VcvewoYcRrg2QGc7Ix3mKT8O"}	true
smart-city-bim	Visionary Smart City Concept	Urban-scale planning using BIM	Civil / BIM	civil	2023		BIM Modeler			Conceptual smart city model demonstrating zoning strategies, infrastructure planning, and sustainable urban design using BIM tools.				Revit || AutoCAD	Urban-scale BIM modeling || Infrastructure layout planning || Large-scale visualization			/projects/S11.webp || /projects/S22.webp	{"demo":"https://youtu.be/WiaV3NmNlXg"}	true
commercial-building-bim	Commercial Building — BIM Design	Full BIM workflow for commercial facility	Civil / BIM	civil	2023		BIM Modeler			Commercial building design developed using BIM tools including modeling, documentation, and visualization.				Revit || AutoCAD || Enscape	Detailed BIM model development || Coordinated construction drawings || Photorealistic rendering			/projects/C11.webp || /projects/C12.webp || /projects/C13.webp || /projects/C14.webp	{"demo":"https://youtu.be/l7f6IUEXNOE"}	true
residential-revit-series	Residential Building Design Series	Multiple parametric house models	Civil / BIM	civil	2022		BIM Modeler			Collection of residential building designs demonstrating parametric modeling and visualization workflows.				Revit || AutoCAD || Enscape	Parametric residential models || Drawings and schedules || Walkthrough renders			/projects/h1.1.webp || /projects/h1.3.webp || /projects/h2.1.webp	{"demo":"https://www.youtube.com/playlist?list=PLBip7ccT-Vcvj8sn_rWNx6dMwNR3TSOfP"}	true
xtasy-2k24	XTASY 2K24 — Arts Fest Website	Official college arts festival platform	Web / Front-end	web	2024		Designer & Front-end Developer			Responsive website developed to showcase events and updates for the college arts festival.				HTML || CSS || JavaScript	Responsive UI design || Festival branding integration || GitHub Pages deployment			/projects/XTASY24.webp	{"demo":"https://pradul-p.github.io/XTASY-2K24/","repo":"https://github.com/PRADUL-P/XTASY-2K24"}	
ignite-2k22	IGNITE 2K22 — Sports Fest Website	Official sports event portal	Web / Front-end	web	2022		Front-end Developer			Website presenting schedules, teams, and event details for the college sports festival.				HTML || CSS || JavaScript	Centralized event information || Responsive interface || Official deployment			/projects/ignite.webp	{"demo":"https://www.stthomaskannur.ac.in/ignite2022/"}	
iedc-website	IEDC Entrepreneurship Cell Website	Innovation and startup portal	Web / Front-end	web	2022		Front-end Developer			Website developed to showcase entrepreneurship initiatives, programs, and opportunities.				HTML || CSS || JavaScript || Bootstrap	Centralized information platform || Improved accessibility || Team collaboration project			/projects/IEDC.webp	{"demo":"https://www.stthomaskannur.ac.in/stm2/IEDC/"}	
vblaze-website	VBLAZE Design Club Website	React-based club platform	Web / Front-end	web	2023		Front-end Developer			Modern website showcasing design club activities, projects, and events.				React || Tailwind CSS || JavaScript	Modern frontend framework || Club portfolio showcase || Improved digital presence			/projects/vblaze.webp	{"demo":"https://vblaze.tech/","repo":"https://github.com/PRADUL-P/V-BLAZE"}	
project-dasp	Project DASP — Final Year Project Website	Academic project documentation portal	Web / Front-end	web	2024		Front-end Developer			Website created to present final-year project documentation and outcomes for public viewing.				HTML || CSS || JavaScript || GitHub Pages	Clear project presentation || Accessible documentation || Static hosting			/projects/dasp.webp	{"demo":"https://project-dasp.github.io/","repo":"https://github.com/PRADUL-P/dasp"}	
flip-book-magazine	Interactive Flip-Book Magazine	3D digital publication platform	Web / Animation	web	2024		Lead Front-end Developer			Interactive web application converting technical publications into realistic digital flip-book experiences.				HTML || CSS || JavaScript || Turn.js	Realistic page-flip animation || Interactive reading experience || Applied to technical publications			/projects/MAG.webp	{"demo":"https://enginexus.github.io/EngiNexus-24/","repo":"https://github.com/PRADUL-P/PDF-to-Flipbook"}	
